date,description,counterparty,debit,credit,balance,sourceAccount
2026-01-03,CUSTOMER PAYMENT INV-1001,Customer A,,12000000,12000000,GTB-001
2026-01-05,TRANSFER FROM DIRECTOR WORKING CAPITAL,Director Tobi,,5000000,17000000,GTB-001
2026-01-07,PAYSTACK SETTLEMENT,Paystack,,3200000,20200000,GTB-001
2026-01-10,OFFICE RENT JANUARY,Landlord Ltd,2500000,,17700000,GTB-001
2026-01-12,DIESEL SUPPLY,Energy Vendor,850000,,16850000,GTB-001
2026-01-15,SALARY JANUARY,Payroll Batch,4200000,,12650000,GTB-001
2026-01-17,CUSTOMER PAYMENT NET OF WHT INV-1002,Customer B,,9500000,22150000,GTB-001
2026-01-20,LAPTOPS FOR OPS TEAM,Tech Vendor,2800000,,19350000,GTB-001
2026-01-21,NIP REVERSAL,Unknown,,400000,19750000,GTB-001
2026-01-21,NIP TRANSFER ERROR,Unknown,400000,,19350000,GTB-001
2026-01-25,FOUNDER DRAWING,Director Tobi,1000000,,18350000,GTB-001
